wall.png
25,25,19,4,2,
23,24,24,24,24,24,24,24,24,24,24,24,24,24,26,24,24,24,24,24,24,24,24,24,25,
23,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,25,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
27,20,20,20,20,20,20,20,20,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
35,24,24,24,24,24,24,24,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
39,28,28,28,28,28,28,28,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
19,20,20,20,20,20,20,20,20,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
23,24,24,24,24,24,24,24,24,36,0,0,0,0,0,0,19,20,20,20,20,20,20,20,29,
23,28,28,28,28,28,28,28,28,40,0,0,0,0,0,0,23,24,24,24,24,24,26,24,36,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,28,28,28,28,28,28,28,40,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,20,20,20,20,20,20,20,21,
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,24,24,24,26,24,24,25,
27,20,20,20,20,20,21,0,0,0,0,0,0,0,0,0,39,28,28,28,28,28,28,28,25,
35,24,24,24,24,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,
39,28,28,28,28,28,30,0,19,20,20,20,20,20,20,21,0,0,0,0,0,0,0,0,25,
19,20,20,20,20,20,29,0,23,24,24,24,26,24,24,25,0,0,0,0,0,0,0,0,25,
23,24,24,24,24,24,36,0,23,28,28,28,28,28,28,25,0,0,0,0,0,0,0,0,25,
23,28,28,28,28,28,40,0,27,20,21,0,0,0,0,25,0,0,0,0,0,0,0,0,25,
23,0,0,0,0,0,0,0,35,24,25,0,0,19,20,29,0,0,0,0,0,0,0,0,25,
23,0,0,0,0,0,0,0,39,28,25,0,0,23,24,36,0,0,0,0,0,0,0,0,25,
23,0,0,0,0,0,0,0,0,0,25,0,0,23,28,40,0,0,0,0,0,0,0,0,25,
23,0,0,0,0,0,0,0,0,0,25,0,0,23,0,0,0,0,0,0,0,0,0,0,25,
31,32,32,32,32,32,32,32,32,32,33,0,0,31,32,32,32,38,32,32,32,32,32,32,33
